cnd,cnd2,transient_counts,cdt,mdt,dtstd,key_press_list
4.0,12,2,0.3095259666442871,0.3095259666442871,0.0,[0.3095259666442871]
0.5,2,18,2.4659152030944824,0.27399057812160915,0.11765883337827163,"[0.2615010738372803, 0.293734073638916, 0.3014819622039795, 0.15761709213256836, 0.38178396224975586, 0.08551716804504395, 0.23741722106933594, 0.22939682006835938, 0.5174658298492432]"
0.5,1,14,2.7674856185913086,0.39535508837018696,0.24075550091521994,"[0.1573798656463623, 0.29359984397888184, 0.2699251174926758, 0.29371023178100586, 0.8697731494903564, 0.6456952095031738, 0.23740220069885254]"
4.0,11,6,0.7204728126525879,0.2401576042175293,0.0416132311487551,"[0.18130779266357422, 0.26971006393432617, 0.2694549560546875]"
1.0,4,32,5.004574537277222,0.31278590857982635,0.09772052269587397,"[0.31775689125061035, 0.4297521114349365, 0.30968236923217773, 0.24576210975646973, 0.389782190322876, 0.34981584548950195, 0.5980069637298584, 0.2530701160430908, 0.3021819591522217, 0.3017537593841553, 0.22170400619506836, 0.1736772060394287, 0.2218029499053955, 0.29389309883117676, 0.3499720096588135, 0.24596095085144043]"
2.0,9,18,2.4984049797058105,0.2776005533006456,0.07325183181325862,"[0.2935910224914551, 0.22164082527160645, 0.3017148971557617, 0.22175097465515137, 0.25369811058044434, 0.45377302169799805, 0.2373199462890625, 0.31730198860168457, 0.19761419296264648]"
4.0,10,14,1.8957464694976807,0.2708209242139544,0.09761386937844498,"[0.38210296630859375, 0.1734011173248291, 0.1976480484008789, 0.23761630058288574, 0.245574951171875, 0.205610990524292, 0.45379209518432617]"
2.0,7,22,3.1672611236572266,0.2879328294233842,0.17027951886322568,"[0.23789215087890625, 0.2621018886566162, 0.3498497009277344, 0.09339427947998047, 0.05373811721801758, 0.23740816116333008, 0.2616539001464844, 0.2935171127319336, 0.25392580032348633, 0.38201117515563965, 0.7417688369750977]"
1.0,5,28,6.833084583282471,0.4880774702344622,0.25287569916828584,"[0.24575328826904297, 0.7261619567871094, 0.9977920055389404, 0.14971184730529785, 0.30173492431640625, 0.6696767807006836, 0.32585597038269043, 0.7579829692840576, 0.5899457931518555, 0.5014619827270508, 0.3175621032714844, 0.3418581485748291, 0.15772676467895508, 0.7498600482940674]"
1.0,6,26,6.283422470092773,0.4833401900071364,0.2949826311231703,"[0.4697563648223877, 0.25382280349731445, 0.5814840793609619, 0.7098300457000732, 0.14175677299499512, 0.805851936340332, 0.9350218772888184, 0.30173277854919434, 0.20572686195373535, 1.069762945175171, 0.24580788612365723, 0.26151013374328613, 0.3013579845428467]"
0.5,3,24,6.1243579387664795,0.5103631615638733,0.3602228729801245,"[0.33377909660339355, 0.4296579360961914, 0.4458141326904297, 0.3013608455657959, 0.39011478424072266, 0.3577547073364258, 0.9657201766967773, 0.5257570743560791, 1.5343809127807617, 0.18135929107666016, 0.2854881286621094, 0.3731708526611328]"
2.0,8,20,2.8402669429779053,0.28402669429779054,0.1807827356151618,"[0.23768877983093262, 0.2134079933166504, 0.22972488403320312, 0.25379300117492676, 0.22166705131530762, 0.2614021301269531, 0.18993282318115234, 0.22972702980041504, 0.8216712474822998, 0.18125200271606445]"
