cnd,test_eye,transient_counts_l,cdt_l,mdt_l,dtstd_l,press_timing_test,release_timing_test,transient_counts_r,cdt_r,mdt_r,dtstd_r,press_timing_sup,release_timing_sup
2.0,-1,20,3.0882418155670166,0.2807492559606379,0.15881864338978444,"[ 2.03115129  7.67138815  9.28759217 12.84780216 14.45603037 16.01656604
 19.28089023 20.66517711 27.57751727 29.2973702 ]","[ 2.36473131  7.87716031  9.55730128 13.16573834 14.62990212 16.39020538
 19.46223426 20.91852641 27.87880135 29.97512603 30.        ]",10,2.147953510284424,0.3579922517140706,0.25965405588392365,[ 5.68746114 10.37569022 14.00028539 17.06448531 21.54483938],[ 6.34098721 10.54138923 14.14963198 17.63025522 22.15845132 30.        ]
0.5,1,28,6.3685503005981445,0.4245700200398763,0.3138858789798778,"[ 2.85472775  4.22291994  8.26337576  9.36729383 11.70354772 13.09575295
 17.02403092 18.03996801 18.9760859  22.04044104 24.96869183 27.01721072
 28.937078   29.95311785]","[ 3.26858997  4.59664679  8.61302972 10.80537701 12.03738594 13.84545302
 17.24573493 18.33382487 19.37396884 22.5181911  25.15030289 27.47061181
 29.35875487 30.21492076 30.        ]",14,2.0563995838165283,0.25704994797706604,0.20565444012770945,"[ 2.35909891  5.63105893 14.23164487 14.32777596 17.32788873 18.77605605
 25.92877197]","[ 2.62061191  6.24475169 14.27745295 14.42945886 17.81386375 18.94192195
 26.3106339  30.        ]"
1.0,-1,34,5.833407163619995,0.3240781757566664,0.15148422812840454,"[ 3.53509617  4.03108215  5.87137628  8.01558208  8.93552423 10.99983215
 12.35186219 13.98421812 14.96817732 16.38411212 18.44840813 19.75251412
 22.04062319 24.16083312 25.30498004 26.43302202 29.08143902]","[ 3.66084003  4.4128561   6.24504304  8.3572433   9.34135509 11.53345323
 12.42964196 14.31775427 15.23795891 16.58992004 18.80619121 20.26225996
 22.44642305 24.55864406 25.67065406 26.60679603 29.65505528 30.        ]",14,2.545341730117798,0.31816771626472473,0.23928263998822796,"[ 2.39101124  3.63909006  5.43969011  6.53531599 16.89627218 20.99257803
 23.04087019]","[ 2.62872195  3.71687412  5.66103196  6.82908607 17.65559721 21.60642004
 23.38243818 30.        ]"
0.5,-1,24,5.308075904846191,0.40831353114201474,0.192667781808537,"[ 1.88707805  3.47098017  5.81524515  8.89596415 11.8717761  16.33620024
 17.91224003 23.89681816 25.40095401 27.12896609 28.03317595 29.24914122]","[ 2.23671913  4.09262729  6.20495915  9.22124219 12.14146709 17.06161714
 18.55805421 24.49450326 25.67865324 27.51881599 28.27892923 29.71902728
 30.        ]",20,3.7612690925598145,0.34193355386907404,0.14808751199305825,"[ 2.50298691  4.80707026  6.75199008 10.92787504 12.61574912 14.1278162
 15.24798727 20.0643611  23.36072206 26.67306614]","[ 2.90068221  5.18892527  7.06108999 11.43751502 13.18958998 14.48572731
 15.69385695 20.36625314 23.64650631 26.87074709 30.        ]"
4.0,-1,18,4.738356590270996,0.4738356590270996,0.4122645517997078,"[ 2.67164111  8.44005823  9.47193909 11.45592499 12.40797806 14.79223824
 19.02503705 22.66513014 27.70532203]","[ 2.980896    8.69351912  9.9095943  11.79768705 12.68575621 15.0779531
 20.44652534 22.98256731 28.7991271  30.        ]",2,0.4456520080566406,0.2228260040283203,0.2228260040283203,[26.8414042],[27.28705621 30.        ]
1.0,1,30,11.4847993850708,0.717799961566925,0.5229943356298291,"[ 3.69521379  4.66292191  6.02305889  7.46330881  8.64729786 10.79160976
 11.71150088 15.08806777 16.91992879 18.73604298 20.14421797 21.57682681
 25.30520201 26.96101379 29.7130549 ]","[ 3.93263793  5.30860877  6.68467593  7.77303576  9.5249269  11.59736776
 12.42919207 15.68561482 17.49365997 19.16586185 20.46998882 23.74238491
 26.05458689 28.70262694 30.35889697 30.        ]",6,1.0494260787963867,0.2623565196990967,0.21943415114516132,[ 8.23128676 16.1678369  17.82410192],[ 8.36490488 16.50179887 18.40594792 30.        ]
2.0,1,24,6.7801125049591064,0.5215471157660851,0.3973461519409195,"[ 2.89523888  4.55120087  6.31955099  8.03151202 11.8402319  14.44000673
 16.18423986 20.32876682 21.35279369 23.32073689 26.01723886 27.08926272]","[ 3.09286785  4.85295367  6.54103804  8.26919866 13.28569984 15.1978507
 17.02205992 20.70243883 22.49450684 23.75862765 26.50276089 27.43088984
 30.        ]",6,0.7686972618103027,0.19217431545257568,0.16566292896548204,[ 5.48792076 13.64000583 16.23214388],[ 5.88511896 13.94970798 16.29394078 30.        ]
4.0,1,20,4.1521453857421875,0.37746776234019885,0.2601093718269437,"[ 4.58350611  5.67927408 11.82406521 12.51983213 14.00005722 18.40068197
 21.60079122 23.23278904 24.64086509 28.64144897]","[ 4.788872    5.9329989  12.05360413 12.74162793 14.57382607 19.29419708
 21.99832416 23.42244005 25.03862095 29.43094516 30.        ]",0,0.0,0.0,0.0,[],[30.]
